generation,prey.species,initial,initial.total,eaten,eaten.total,left,left.total,reproduction,pop.new,pop.total,prey.frequency
0,Yellow Lentil,400,2400,0,0,400,2400,0,0,2400,0.1666666667
0,Black Bean,400,2400,0,0,400,2400,0,0,2400,0.1666666667
0,Kidney Bean,400,2400,0,0,400,2400,0,0,2400,0.1666666667
0,Black-eyed White bean,400,2400,0,0,400,2400,0,0,2400,0.1666666667
0,Brown Lentil,400,2400,0,0,400,2400,0,0,2400,0.1666666667
0,Pinto Bean,400,2400,0,0,400,2400,0,0,2400,0.1666666667
1,Yellow Lentil,405,2400,15,155,390,2245,27,417,2400,0.1737397203
1,Black Bean,404,2400,19,155,385,2245,27,412,2400,0.1714929799
1,Kidney Bean,375,2400,88,155,287,2245,20,307,2400,0.1277379242
1,Black-eyed White bean,411,2400,18,155,393,2245,27,420,2400,0.1751934365
1,Brown lentil,414,2400,8,155,406,2245,28,435,2400,0.181042789
1,Pinto Bean,390,2400,7,155,383,2245,26,410,2400,0.1707931501
2,Yellow Lentil,417,2400,11,167,406,2233,30,436,2400,0.1818071333
2,Black Bean,412,2400,32,167,380,2233,28,408,2400,0.1699879766
2,Kidney Bean,307,2400,88,167,219,2233,16,235,2400,0.09788222933
2,Black-eyed White bean,420,2400,29,167,391,2233,29,421,2400,0.1753086644
2,Brown Lentil,435,2400,7,167,428,2233,32,459,2400,0.1914476908
2,Pinto Bean,410,2400,0,167,410,2233,31,441,2400,0.1835663055
3,Yellow Lentil,436,2400,16,195,420,2205,37,458,2400,0.1906290793
3,Black Bean,408,2400,35,195,373,2205,33,406,2400,0.1691479111
3,Kidney Bean,235,2400,125,195,110,2205,10,120,2400,0.0498491385
3,Black-eyed White bean,421,2400,15,195,406,2205,36,442,2400,0.1840094306
3,Brown Lentil,459,2400,3,195,456,2205,40,497,2400,0.2070178948
3,Pinto Bean,441,2400,1,195,440,2205,39,478,2400,0.1993465457
