generation,predator.species,predator.count,predator.total,eaten.bean1,eaten.bean2,eaten.bean3,eaten.bean4,eaten.bean5,eaten.bean6,total.byspecies,total.bywhole,predator.frequency
0,Spoon,6,18,0,0,0,0,0,0,0,0,0.3333333333
0,Fork,6,18,0,0,0,0,0,0,0,0,0.3333333333
0,Knife,6,18,0,0,0,0,0,0,0,0,0.3333333333
1,Spoon,7,17,7,5,53,14,1,0,80,148,0.4117647059
1,Fork,4,17,0,12,22,4,7,0,45,148,0.2352941176
1,Knife,6,17,8,2,13,0,0,0,23,148,0.3529411765
2,Spoon,9,17,4,18,47,21,7,0,97,167,0.5294117647
2,Fork,5,17,6,12,33,8,0,0,59,167,0.2941176471
2,Knife,3,17,1,2,8,0,0,0,11,167,0.1764705882
3,Spoon,10,17,5,20,69,9,2,0,105,194,0.5882352941
3,Fork,6,17,11,15,51,6,1,0,84,194,0.3529411765
3,Knife,1,17,0,0,5,0,0,0,5,194,0.05882352941
