generation,prey.species,initial,initial.total,eaten,eaten.total,left,left.total,reproduction,pop.new,pop.total,prey.frequency
0,Yellow Lentil,400,2400,0,0,400,2400,0,0,2400,0.1666666667
0,Black Bean,400,2400,0,0,400,2400,0,0,2400,0.1666666667
0,Kidney Bean,400,2400,0,0,400,2400,0,0,2400,0.1666666667
0,Black-eyed White bean,400,2400,0,0,400,2400,0,0,2400,0.1666666667
0,Brown Lentil,400,2400,0,0,400,2400,0,0,2400,0.1666666667
0,Pinto Bean,400,2400,0,0,400,2400,0,0,2400,0.1666666667
1,Yellow Lentil,405,2400,15,182,390,2218,32,422,2400,0.1758546763
1,Black Bean,404,2400,19,182,385,2218,32,417,2400,0.1735805861
1,Kidney Bean,375,2400,88,182,287,2218,24,310,2400,0.1292928944
1,Black-eyed White bean,411,2400,18,182,393,2218,32,426,2400,0.1773260888
1,Brown lentil,414,2400,8,182,406,2218,33,440,2400,0.1832466462
1,Pinto Bean,390,2400,34,182,356,2218,29,386,2400,0.1606991082
2,Yellow Lentil,422,2400,11,241,411,2159,46,457,2400,0.1903896355
2,Black Bean,417,2400,32,241,385,2159,43,428,2400,0.1781349729
2,Kidney Bean,310,2400,88,241,222,2159,25,247,2400,0.1029657002
2,Black-eyed White bean,426,2400,29,241,397,2159,44,441,2400,0.1836881024
2,Brown Lentil,440,2400,7,241,433,2159,48,481,2400,0.2004594493
2,Pinto Bean,386,2400,74,241,312,2159,35,346,2400,0.1443621397
3,Yellow Lentil,457,2400,16,270,441,2130,56,497,2400,0.2070117959
3,Black Bean,428,2400,35,270,393,2130,50,442,2400,0.1842835376
3,Kidney Bean,247,2400,125,270,122,2130,15,138,2400,0.0573322443
3,Black-eyed White bean,441,2400,15,270,426,2130,54,480,2400,0.1999302562
3,Brown Lentil,481,2400,3,270,478,2130,61,539,2400,0.2244613513
3,Pinto Bean,346,2400,76,270,270,2130,34,305,2400,0.1269808147
